"ThoughtIdA","ThoughtIdB","Kind","Relation","Direction","Meaning","Thickness","CreationDateTime","ModificationDateTime","SyncSentId","BrainId","Id","TypeId","Name"
"9dbd97af-4986-41ae-8ebd-d87a8be0a4ab","b757bb8f-525f-4043-9929-d26a9f5e58de",1,1,-1,2,-1,"2022-02-03T01:45:29.926448","2022-02-03T01:45:29.926448",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","00334257-fa16-46ef-a588-66044320efc6",,
"d24863ae-2c92-42dc-bec9-fa69994ff478","ed7092ae-76cf-435b-a474-9014d33ea71e",1,1,-1,1,-1,"2022-01-24T18:20:22.818542","2022-01-24T18:20:41.3335437",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","0033875b-38af-4ec6-8628-bb77544dd3f0","94010e52-590a-4fef-a6b6-4b76ee0e9085",
"b4932e97-4621-4a2d-b6e8-3c257cef4d82","8e4ba01d-2f6d-4662-9c0e-c4629fbb2890",1,1,-1,5,-1,"2022-01-09T03:23:44.5643033","2022-01-09T03:23:44.5643033","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","003783fc-f4f3-4a2f-a792-f1b97755d8bb",,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","040be4cb-ac5a-4155-b229-f1720e3ad589",1,1,-1,2,-1,"2022-02-03T20:16:26.9196921","2022-02-03T20:16:26.9196921",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","003bdb4b-efa0-43e1-8854-d0e8ab445f43",,
"09a11279-7749-4534-9e31-f47e8c8a9258","9aa6a16d-91aa-4ce8-84b3-94c873ad43f1",1,1,-1,1,-1,"2022-01-09T04:50:25.4788048","2022-01-09T04:50:31.2588039","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","0041f3c8-be77-4164-bebe-80ced056675b","94010e52-590a-4fef-a6b6-4b76ee0e9085",
"037a0323-039e-4c18-a394-830a92ee2750","4893a7bf-3bdc-4a7f-a31a-c767bd9db85e",1,1,-1,5,-1,"2022-01-09T08:35:07.6598037","2022-01-09T08:35:07.6598037","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","00490b33-331b-4bbc-bfa9-79222aa01694",,
"f7e2bafb-0775-4bca-8cda-3ab1a76969a5","d57d3ddc-d454-4a26-a9e8-93be9f102405",1,1,-1,1,-1,"2022-02-03T01:06:21.9329462","2022-02-03T01:06:21.9329462",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","004c8af2-907f-4f35-ac24-f6ed2a95d0ef",,
"49b42c3b-1a74-46c6-b1d7-ab7c7969a8b9","581a0db7-b544-446f-8fce-c0aeb91662f9",1,1,-1,2,-1,"2022-01-07T20:54:16.2479226","2022-01-07T20:54:16.2479226","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","005202c2-63a2-4623-b1cd-40a85bf5a351",,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","3f268057-ef6f-4771-ac67-2001cf241bff",1,1,-1,2,-1,"2022-02-04T04:34:32.2365781","2022-02-04T04:34:32.2365781",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","005802ac-76fc-4137-8130-19f618fe5c93",,
"b4741297-83cb-4872-8f94-711fd0018996","37251d97-3c02-4303-a29f-3d51bf2e2bf7",1,1,-1,1,-1,"2021-12-20T22:19:27.9670541","2022-02-03T02:25:15.3624773",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","005b369b-ab35-4e15-af16-5674477ffb4d","0a1d0608-8f79-4500-9748-345475ac4238",
"7b79e690-faaf-404a-982c-fad8b35868f2","f48a451d-af79-4ddf-89b4-2b5c18fd9f36",1,1,-1,2,-1,"2022-02-04T15:40:07.1872271","2022-02-04T15:40:07.1872271",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","005be94b-0ef4-4eb5-9407-6c73e6c0141b",,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","87fd0c55-07c2-4eee-ae03-ec9c5f9832b5",1,1,-1,2,-1,"2022-01-07T21:09:42.2974228","2022-02-04T02:03:44.4955779",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","005d1fab-813a-4ad5-a345-cd0be8e599a8",,
